ORGEH;COMPANY_CODE;NAMA_UNIT;PARENT;TEXT PARENT;TARGET_REALISASI_COC
10077152;4C00;Unit Induk Pembangunan (UIP) Sumatera Bagian Selatan;15000000;PT PLN (PERSERO) / ORG-BARU;95
17300075;4R00;Unit Induk Pembangunan (UIP) Kalimantan Bagian Barat;15000000;PT PLN (PERSERO) / ORG-BARU;95
17300048;4J00;Unit Induk Pembangunan (UIP) Kalimantan Bagian TImur;15000000;PT PLN (PERSERO) / ORG-BARU;95
10076800;4M00;Unit Induk Pembangunan (UIP) Sulawesi;15000000;PT PLN (PERSERO) / ORG-BARU;95
10077272;4E00;Unit Induk Pembangunan (UIP) Jawa Bagian Barat;15000000;PT PLN (PERSERO) / ORG-BARU;95
10076634;4P00;Unit Induk Pembangunan (UIP) Jawa Bagian Tengah;15000000;PT PLN (PERSERO) / ORG-BARU;95
10076635;4G00;Unit Induk Pembangunan (UIP) Jawa Bagian Timur dan Bali;15000000;PT PLN (PERSERO) / ORG-BARU;95
10077475;4K00;Unit Induk Pembangunan (UIP) Nusa Tenggara;15000000;PT PLN (PERSERO) / ORG-BARU;95
10076755;4N00;Unit Induk Pembangunan (UIP) Maluku dan Papua;15000000;PT PLN (PERSERO) / ORG-BARU;95
10086276;2500;Unit Induk Penyaluran Dan Pusat Pengatur Beban (UIP3B) Sulawesi;15000000;PT PLN (PERSERO) / ORG-BARU;95
10086275;2400;Unit Induk Penyaluran Dan Pusat Pengatur Beban (UIP3B) Kalimantan;15000000;PT PLN (PERSERO) / ORG-BARU;95
10096380;1200;PT PLN Indonesia Power;10096379;SUB HOLDING;95
10096381;1200;PT PLN Nusantara Power;10096379;SUB HOLDING;95
10096382;1200;PT PLN Indonesia Comnets Plus;10096379;SUB HOLDING;95
10096383;1200;PT PLN Energi Primer Indonesia;10096379;SUB HOLDING;95
10095429;1300;PT Energi Management Indonesia;10091860;ANAK PERUSAHAAN;95
17408000;1300;PT Haleyora Power;10091860;ANAK PERUSAHAAN;95
10095320;1300;PT Mandau Cipta Tenaga Nusantara;10091860;ANAK PERUSAHAAN;95
10091862;1300;PT PLN Batam;10091860;ANAK PERUSAHAAN;95
17409295;1300;PT PLN Enjiniring;10091860;ANAK PERUSAHAAN;95
17499451;1300;PT PLN Tarakan;10091860;ANAK PERUSAHAAN;95
